I, 66
I, 47
I, 17
I, 2
I, 81
I, 48
I, 91
I, 64
I, 11
I, 57
I, 54
I, 94
I, 79
I, 25
I, 84
I, 20
I, 1
I, 9
I, 27
I, 77
I, 12
I, 58
I, 56
I, 28
I, 84
I, 90
I, 69
I, 30
I, 14
I, 6
I, 28
I, 10
I, 51
I, 62
I, 16
I, 70
I, 93
I, 92
I, 50
I, 51
I, 80
I, 44
I, 97
I, 5
I, 51
I, 91
I, 66
I, 68
I, 48
I, 11
I, 84
I, 27
I, 90
I, 57
I, 69
I, 28
I, 42
I, 61
I, 68
I, 69
I, 52
I, 37
I, 11
I, 68
I, 39
I, 90
I, 11
I, 3
I, 44
I, 29
I, 5
I, 71
I, 88
I, 47
I, 15
I, 6
I, 93
I, 31
I, 77
I, 49
I, 59
I, 90
I, 66
I, 67
I, 0
I, 32
I, 14
I, 69
I, 97
I, 20
I, 0
I, 56
I, 9
I, 91
I, 59
I, 97
I, 39
I, 20
I, 39
I, 40
I, 76
I, 58
I, 5
I, 81
I, 35
I, 74
I, 56
I, 60
I, 68
I, 89
I, 32
I, 49
I, 36
I, 85
R, 0
I, 53
I, 44
I, 99
I, 50
I, 52
I, 88
I, 75
I, 58
I, 36
I, 73
I, 6
I, 79
I, 18
I, 85
I, 91
I, 78
I, 33
I, 40
I, 15
I, 30
I, 52
I, 35
I, 81
I, 20
I, 71
I, 81
I, 99
I, 41
I, 48
I, 83
I, 83
I, 75
I, 9
I, 5
I, 14
I, 94
I, 44
I, 41
I, 84
I, 13
I, 46
I, 54
I, 8
I, 96
I, 92
I, 88
I, 93
I, 94
I, 52
I, 42
I, 73
I, 47
I, 72
I, 68
I, 78
R, 10
I, 84
I, 34
I, 81
I, 60
I, 16
I, 56
I, 26
I, 97
I, 28
I, 4
I, 71
I, 72
I, 81
I, 26
I, 58
I, 63
I, 18
I, 37
I, 18
I, 12
I, 27
I, 89
I, 69
I, 94
I, 87
I, 4
I, 51
I, 58
I, 51
I, 32
R, 31
I, 87
I, 93
I, 81
I, 52
I, 47
I, 23
I, 19
I, 14
I, 42
I, 73
R, 50
I, 10
I, 76
I, 71
I, 8
I, 67
I, 91
R, 82
I, 32
I, 48
I, 54
I, 78
I, 13
I, 22
I, 85
I, 54
I, 10
I, 11
I, 57
I, 23
I, 95
I, 63
I, 18
I, 40
I, 79
I, 26
I, 15
I, 38
I, 98
I, 3
I, 9
I, 85
I, 93
I, 19
I, 14
I, 1
I, 0
I, 40
I, 16
I, 70
